user_id,official_name,policy_field
947587280,Bundesministerium f체r Wirtschaft und Klimaschutz,wirtschaft
459092531,Bundesministerium der Finanzen,finanzen_haushalt
588242800,Bundesministerium des Innern und f체r Heimat,innere_sicherheit
273468342,Ausw채rtiges Amt,aeusseres
2313799808,Bundesministerium der Justiz,gesellschaft
1543415318,Bundesministerium f체r Arbeit und Soziales,arbeit
1121700961125314560,Verteidigungsministerium,verteidigung
322697372,BMEL,landwirtschaft_ernaehrung
467321087,"Familien-, Senioren-, Frauen- & Jugendministerium",soziales
2478349112,Bundesgesundheitsministerium,gesundheit
252952532,BMDV,verkehr
164620984,Bundesumweltministerium,umwelt
2969727718,BMBF,bildung_forschung
343890284,Bundesentwicklungsministerium,entwicklung
1469289892094033927,Bundesbauministerium,soziales
